Player ID,Team,Stolen Bases (SB),Caught Stealing (CS),Stolen Bases Percentage
castilu01,Team,SB,CS,SB%
castilu01,Career,SB,CS,SB%
beschbo01,Team,SB,CS,SB%
beschbo01,Career,SB,CS,SB%
ellsbja01,Team,SB,CS,SB%
ellsbja01,Career,SB,CS,SB%
davisra01,Team,SB,CS,SB%
davisra01,Career,SB,CS,SB%
reisepe01,Team,SB,CS,SB%
reisepe01,Career,SB,CS,SB%
brutobi01,Team,SB,CS,SB%
brutobi01,Career,SB,CS,SB%
cabreev01,Team,SB,CS,SB%
cabreev01,Career,SB,CS,SB%
friscfr01,Team,SB,CS,SB%
friscfr01,Career,SB,CS,SB%
donovpa01,Team,SB,CS,SB%
donovpa01,Career,SB,CS,SB%
carrch02,Team,SB,CS,SB%
carrch02,Career,SB,CS,SB%
reesepe01,Team,SB,CS,SB%
reesepe01,Career,SB,CS,SB%
andreed01,Team,SB,CS,SB%
andreed01,Career,SB,CS,SB%
bournmi01,Team,SB,CS,SB%
bournmi01,Career,SB,CS,SB%
pierrju01,Team,SB,CS,SB%
pierrju01,Career,SB,CS,SB%
merriwh01,Team,SB,CS,SB%
merriwh01,Career,SB,CS,SB%
careyma01,Team,SB,CS,SB%
careyma01,Career,SB,CS,SB%
ashburi01,Team,SB,CS,SB%
ashburi01,Career,SB,CS,SB%
cruzon01,Team,SB,CS,SB%
cruzon01,Career,SB,CS,SB%
lefloro01,Team,SB,CS,SB%
lefloro01,Career,SB,CS,SB%
storytr01,Team,SB,CS,SB%
storytr01,Career,SB,CS,SB%
mayswi01,Team,SB,CS,SB%
mayswi01,Career,SB,CS,SB%
turnetr01,Team,SB,CS,SB%
turnetr01,Career,SB,CS,SB%
taverfr01,Team,SB,CS,SB%
taverfr01,Career,SB,CS,SB%
verasqu01,Team,SB,CS,SB%
verasqu01,Career,SB,CS,SB%
jethrsa01,Team,SB,CS,SB%
jethrsa01,Career,SB,CS,SB%
patekfr01,Team,SB,CS,SB%
patekfr01,Career,SB,CS,SB%
crosefr01,Team,SB,CS,SB%
crosefr01,Career,SB,CS,SB%
