Player ID,Team,Stolen Bases (SB),Caught Stealing (CS),Stolen Bases Percentage
hackst01,1933 Cubs,4,1,.800
hackst01,1934 Cubs,11,7,.611
hackst01,1935 Cubs,14,7,.667
hackst01,1936 Cubs,17,18,.486
hackst01,1937 Cubs,16,19,.457
hackst01,1938 Cubs,16,25,.390
hackst01,1939 Cubs,17,18,.486
hackst01,1940 Cubs,21,22,.488
hackst01,1941 Cubs,10,8,.556
hackst01,1942 Cubs,9,4,.692
hackst01,1943 Cubs,5,6,.455
hackst01,1944 Cubs,5,9,.357
hackst01,1945 Cubs,12,6,.667
hackst01,1946 Cubs,3,6,.333
hackst01,1947 Cubs,0,4,.000
hackst01,Career,SB,CS,SB%
hackst01,16 Years,165,163,.503
bayha01,Team,SB,CS,SB%
bayha01,1901 Reds,4,-,-
bayha01,1902 Reds,0,-,-
bayha01,1902 Blues,22,-,-
bayha01,1903 Blues,45,-,-
bayha01,1904 Blues,38,-,-
bayha01,1905 Naps,36,-,-
bayha01,1906 Naps,17,-,-
bayha01,1907 Naps,7,-,-
bayha01,1908 Naps,0,-,-
bayha01,Career,SB,CS,SB%
bayha01,8 Years,169,-,-
harpeto01,Team,SB,CS,SB%
harpeto01,1962 Reds,1,0,1.000
harpeto01,1963 Reds,12,1,.923
harpeto01,1964 Reds,24,3,.889
harpeto01,1965 Reds,35,6,.854
harpeto01,1966 Reds,29,10,.744
harpeto01,1967 Reds,23,8,.742
harpeto01,1968 Indians,11,7,.611
harpeto01,1969 Pilots,73,18,.802
harpeto01,1970 Brewers,38,16,.704
harpeto01,1971 Brewers,25,3,.893
harpeto01,1972 Red Sox,25,7,.781
harpeto01,1973 Red Sox,54,14,.794
harpeto01,1974 Red Sox,28,12,.700
harpeto01,1975 Angels,19,8,.704
harpeto01,1975 Athletics,7,0,1.000
harpeto01,1976 Orioles,4,3,.571
harpeto01,Career,SB,CS,SB%
harpeto01,15 Years,408,116,.779
campabe01,Team,SB,CS,SB%
campabe01,1964 Athletics,10,2,.833
campabe01,1965 Athletics,51,19,.729
campabe01,1966 Athletics,52,10,.839
campabe01,1967 Athletics,55,16,.775
campabe01,1968 Athletics,62,22,.738
campabe01,1969 Athletics,62,8,.886
campabe01,1970 Athletics,42,10,.808
campabe01,1971 Athletics,34,7,.829
campabe01,1972 Athletics,52,14,.788
campabe01,1973 Athletics,34,10,.773
campabe01,1974 Athletics,34,15,.694
campabe01,1975 Athletics,24,12,.667
campabe01,1976 Athletics,54,12,.818
campabe01,1977 Rangers,27,20,.574
campabe01,1978 Rangers,22,4,.846
campabe01,1979 Rangers,1,0,1.000
campabe01,1979 Angels,12,4,.750
campabe01,1980 Angels,10,5,.667
campabe01,1981 Angels,5,2,.714
campabe01,1983 Yankees,6,7,.462
campabe01,Career,SB,CS,SB%
campabe01,19 Years,649,199,.765
sheckji01,Team,SB,CS,SB%
sheckji01,1897 Bridegrooms,5,-,-
sheckji01,1898 Bridegrooms,8,-,-
sheckji01,1899 Orioles,77,-,-
sheckji01,1900 Superbas,30,-,-
sheckji01,1901 Superbas,35,-,-
sheckji01,1902 Orioles,2,-,-
sheckji01,1902 Superbas,23,-,-
sheckji01,1903 Superbas,67,-,-
sheckji01,1904 Superbas,21,-,-
sheckji01,1905 Superbas,23,-,-
sheckji01,1906 Cubs,30,-,-
sheckji01,1907 Cubs,31,-,-
sheckji01,1908 Cubs,18,-,-
sheckji01,1909 Cubs,15,-,-
sheckji01,1910 Cubs,22,-,-
sheckji01,1911 Cubs,32,-,-
sheckji01,1912 Cubs,15,-,-
sheckji01,1913 Cardinals,5,-,-
sheckji01,1913 Reds,6,-,-
sheckji01,Career,SB,CS,SB%
sheckji01,17 Years,465,-,-
grissma02,Team,SB,CS,SB%
grissma02,1989 Expos,1,0,1.000
grissma02,1990 Expos,22,2,.917
grissma02,1991 Expos,76,17,.817
grissma02,1992 Expos,78,13,.857
grissma02,1993 Expos,53,10,.841
grissma02,1994 Expos,36,6,.857
grissma02,1995 Braves,29,9,.763
grissma02,1996 Braves,28,11,.718
grissma02,1997 Indians,22,13,.629
grissma02,1998 Brewers,13,8,.619
grissma02,1999 Brewers,24,6,.800
grissma02,2000 Brewers,20,10,.667
grissma02,2001 Dodgers,7,5,.583
grissma02,2002 Dodgers,5,1,.833
grissma02,2003 Giants,11,3,.786
grissma02,2004 Giants,3,1,.750
grissma02,2005 Giants,1,1,.500
grissma02,Career,SB,CS,SB%
grissma02,17 Years,429,116,.787
henderi01,Team,SB,CS,SB%
henderi01,1979 Athletics,33,11,.750
henderi01,1980 Athletics,100,26,.794
henderi01,1981 Athletics,56,22,.718
henderi01,1982 Athletics,130,42,.756
henderi01,1983 Athletics,108,19,.850
henderi01,1984 Athletics,66,18,.786
henderi01,1985 Yankees,80,10,.889
henderi01,1986 Yankees,87,18,.829
henderi01,1987 Yankees,41,8,.837
henderi01,1988 Yankees,93,13,.877
henderi01,1989 Yankees,25,8,.758
henderi01,1989 Athletics,52,6,.897
henderi01,1990 Athletics,65,10,.867
henderi01,1991 Athletics,58,18,.763
henderi01,1992 Athletics,48,11,.814
henderi01,1993 Athletics,31,6,.838
henderi01,1993 Blue Jays,22,2,.917
henderi01,1994 Athletics,22,7,.759
henderi01,1995 Athletics,32,10,.762
henderi01,1996 Padres,37,15,.712
henderi01,1997 Padres,29,4,.879
henderi01,1997 Angels,16,4,.800
henderi01,1998 Athletics,66,13,.835
henderi01,1999 Mets,37,14,.725
henderi01,2000 Mets,5,2,.714
henderi01,2000 Mariners,31,9,.775
henderi01,2001 Padres,25,7,.781
henderi01,2002 Red Sox,8,2,.800
henderi01,2003 Dodgers,3,0,1.000
henderi01,Career,SB,CS,SB%
henderi01,25 Years,"1,406",335,.808
troutmi01,Team,SB,CS,SB%
troutmi01,2011 Angels,4,0,1.000
troutmi01,2012 Angels,49,5,.907
troutmi01,2013 Angels,33,7,.825
troutmi01,2014 Angels,16,2,.889
troutmi01,2015 Angels,11,7,.611
troutmi01,2016 Angels,30,7,.811
troutmi01,2017 Angels,22,4,.846
troutmi01,2018 Angels,24,2,.923
troutmi01,2019 Angels,11,2,.846
troutmi01,2020 Angels,1,1,.500
troutmi01,2021 Angels,2,0,1.000
troutmi01,2022 Angels,1,0,1.000
troutmi01,2023 Angels,2,0,1.000
troutmi01,2024 Angels,6,1,.857
troutmi01,2025 Angels,2,0,1.000
troutmi01,Career,SB,CS,SB%
troutmi01,15 Years,214,38,.849
damonjo01,Team,SB,CS,SB%
damonjo01,1995 Royals,7,0,1.000
damonjo01,1996 Royals,25,5,.833
damonjo01,1997 Royals,16,10,.615
damonjo01,1998 Royals,26,12,.684
damonjo01,1999 Royals,36,6,.857
damonjo01,2000 Royals,46,9,.836
damonjo01,2001 Athletics,27,12,.692
damonjo01,2002 Red Sox,31,6,.838
damonjo01,2003 Red Sox,30,6,.833
damonjo01,2004 Red Sox,19,8,.704
damonjo01,2005 Red Sox,18,1,.947
damonjo01,2006 Yankees,25,10,.714
damonjo01,2007 Yankees,27,3,.900
damonjo01,2008 Yankees,29,8,.784
damonjo01,2009 Yankees,12,0,1.000
damonjo01,2010 Tigers,11,1,.917
damonjo01,2011 Rays,19,6,.760
damonjo01,2012 Indians,4,0,1.000
damonjo01,Career,SB,CS,SB%
damonjo01,18 Years,408,103,.798
cabaljo01,Team,SB,CS,SB%
cabaljo01,2023 Mariners,26,3,.897
cabaljo01,2024 Rays,44,16,.733
cabaljo01,2025 Rays,34,8,.810
cabaljo01,2025 Yankees,15,3,.833
cabaljo01,Career,SB,CS,SB%
cabaljo01,3 Years,119,30,.799
chapmbe01,Team,SB,CS,SB%
chapmbe01,1930 Yankees,14,6,.700
chapmbe01,1931 Yankees,61,23,.726
chapmbe01,1932 Yankees,38,18,.679
chapmbe01,1933 Yankees,27,18,.600
chapmbe01,1934 Yankees,26,16,.619
chapmbe01,1935 Yankees,17,10,.630
chapmbe01,1936 Yankees,1,2,.333
chapmbe01,1936 Senators,19,7,.731
chapmbe01,1937 Senators,8,0,1.000
chapmbe01,1937 Red Sox,27,12,.692
chapmbe01,1938 Red Sox,13,6,.684
chapmbe01,1939 Indians,18,6,.750
chapmbe01,1940 Indians,13,7,.650
chapmbe01,1941 Senators,2,2,.500
chapmbe01,1941 White Sox,2,2,.500
chapmbe01,1944 Dodgers,1,0,1.000
chapmbe01,1945 Dodgers,0,0,.000
chapmbe01,1945 Phillies,0,0,.000
chapmbe01,1946 Phillies,0,0,.000
chapmbe01,Career,SB,CS,SB%
chapmbe01,15 Years,287,135,.680
aparilu01,Team,SB,CS,SB%
aparilu01,1956 White Sox,21,4,.840
aparilu01,1957 White Sox,28,8,.778
aparilu01,1958 White Sox,29,6,.829
aparilu01,1959 White Sox,56,13,.812
aparilu01,1960 White Sox,51,8,.864
aparilu01,1961 White Sox,53,13,.803
aparilu01,1962 White Sox,31,12,.721
aparilu01,1963 Orioles,40,6,.870
aparilu01,1964 Orioles,57,17,.770
aparilu01,1965 Orioles,26,7,.788
aparilu01,1966 Orioles,25,11,.694
aparilu01,1967 Orioles,18,5,.783
aparilu01,1968 White Sox,17,11,.607
aparilu01,1969 White Sox,24,4,.857
aparilu01,1970 White Sox,8,3,.727
aparilu01,1971 Red Sox,6,4,.600
aparilu01,1972 Red Sox,3,3,.500
aparilu01,1973 Red Sox,13,1,.929
aparilu01,Career,SB,CS,SB%
aparilu01,18 Years,506,136,.788
gordode01,Team,SB,CS,SB%
gordode01,2011 Dodgers,24,7,.774
gordode01,2012 Dodgers,32,10,.762
gordode01,2013 Dodgers,10,2,.833
gordode01,2014 Dodgers,64,19,.771
gordode01,2015 Marlins,58,20,.744
gordode01,2016 Marlins,30,7,.811
gordode01,2017 Marlins,60,16,.789
gordode01,2018 Mariners,30,12,.714
gordode01,2019 Mariners,22,5,.815
gordode01,2020 Mariners,3,2,.600
gordode01,2022 Nationals,3,2,.600
gordode01,Career,SB,CS,SB%
gordode01,11 Years,336,102,.767
mondera02,Team,SB,CS,SB%
mondera02,2015 Royals,0,0,.000
mondera02,2016 Royals,9,1,.900
mondera02,2017 Royals,5,2,.714
mondera02,2018 Royals,32,7,.821
mondera02,2019 Royals,43,7,.860
mondera02,2020 Royals,24,8,.750
mondera02,2021 Royals,15,1,.938
mondera02,2022 Royals,5,0,1.000
mondera02,Career,SB,CS,SB%
mondera02,8 Years,133,26,.836
crawfca02,Team,SB,CS,SB%
crawfca02,2002 Devil Rays,9,5,.643
crawfca02,2003 Devil Rays,55,10,.846
crawfca02,2004 Devil Rays,59,15,.797
crawfca02,2005 Devil Rays,46,8,.852
crawfca02,2006 Devil Rays,58,9,.866
crawfca02,2007 Devil Rays,50,10,.833
crawfca02,2008 Rays,25,7,.781
crawfca02,2009 Rays,60,16,.789
crawfca02,2010 Rays,47,10,.825
crawfca02,2011 Red Sox,18,6,.750
crawfca02,2012 Red Sox,5,0,1.000
crawfca02,2013 Dodgers,15,4,.789
crawfca02,2014 Dodgers,23,6,.793
crawfca02,2015 Dodgers,10,2,.833
crawfca02,2016 Dodgers,0,1,.000
crawfca02,Career,SB,CS,SB%
crawfca02,15 Years,480,109,.815
otisam01,Team,SB,CS,SB%
otisam01,1967 Mets,0,4,.000
otisam01,1969 Mets,1,0,1.000
otisam01,1970 Royals,33,2,.943
otisam01,1971 Royals,52,8,.867
otisam01,1972 Royals,28,12,.700
otisam01,1973 Royals,13,9,.591
otisam01,1974 Royals,18,5,.783
otisam01,1975 Royals,39,11,.780
otisam01,1976 Royals,26,7,.788
otisam01,1977 Royals,23,7,.767
otisam01,1978 Royals,32,8,.800
otisam01,1979 Royals,30,5,.857
otisam01,1980 Royals,16,1,.941
otisam01,1981 Royals,16,7,.696
otisam01,1982 Royals,9,5,.643
otisam01,1983 Royals,5,2,.714
otisam01,1984 Pirates,0,0,.000
otisam01,Career,SB,CS,SB%
otisam01,17 Years,341,93,.786
chancfr01,Team,SB,CS,SB%
chancfr01,1898 Orphans,7,-,-
chancfr01,1899 Orphans,10,-,-
chancfr01,1900 Orphans,8,-,-
chancfr01,1901 Orphans,27,-,-
chancfr01,1902 Cubs,27,-,-
chancfr01,1903 Cubs,67,-,-
chancfr01,1904 Cubs,42,-,-
chancfr01,1905 Cubs,38,-,-
chancfr01,1906 Cubs,57,-,-
chancfr01,1907 Cubs,35,-,-
chancfr01,1908 Cubs,27,-,-
chancfr01,1909 Cubs,29,-,-
chancfr01,1910 Cubs,16,-,-
chancfr01,1911 Cubs,9,-,-
chancfr01,1912 Cubs,1,-,-
chancfr01,1913 Yankees,1,-,-
chancfr01,1914 Yankees,0,0,.000
chancfr01,Career,SB,CS,SB%
chancfr01,17 Years,401,0,1.000
werbebi01,Team,SB,CS,SB%
werbebi01,1930 Yankees,0,0,.000
werbebi01,1933 Yankees,0,0,.000
werbebi01,1933 Red Sox,15,5,.750
werbebi01,1934 Red Sox,40,15,.727
werbebi01,1935 Red Sox,29,7,.806
werbebi01,1936 Red Sox,23,13,.639
werbebi01,1937 Athletics,35,13,.729
werbebi01,1938 Athletics,19,15,.559
werbebi01,1939 Reds,15,8,.652
werbebi01,1940 Reds,16,9,.640
werbebi01,1941 Reds,14,4,.778
werbebi01,1942 Giants,9,6,.600
werbebi01,Career,SB,CS,SB%
werbebi01,11 Years,215,95,.694
northbi01,Team,SB,CS,SB%
northbi01,1971 Cubs,1,1,.500
northbi01,1972 Cubs,6,0,1.000
northbi01,1973 Athletics,53,20,.726
northbi01,1974 Athletics,54,26,.675
northbi01,1975 Athletics,30,12,.714
northbi01,1976 Athletics,75,29,.721
northbi01,1977 Athletics,17,13,.567
northbi01,1978 Athletics,3,2,.600
northbi01,1978 Dodgers,27,8,.771
northbi01,1979 Giants,58,24,.707
northbi01,1980 Giants,45,19,.703
northbi01,1981 Giants,26,8,.765
northbi01,Career,SB,CS,SB%
northbi01,11 Years,395,162,.709
jenseja01,Team,SB,CS,SB%
jenseja01,1950 Yankees,4,0,1.000
jenseja01,1951 Yankees,8,2,.800
jenseja01,1952 Yankees,1,0,1.000
jenseja01,1952 Senators,17,6,.739
jenseja01,1953 Senators,18,8,.692
jenseja01,1954 Red Sox,22,7,.759
jenseja01,1955 Red Sox,16,7,.696
jenseja01,1956 Red Sox,11,3,.786
jenseja01,1957 Red Sox,8,5,.615
jenseja01,1958 Red Sox,9,4,.692
jenseja01,1959 Red Sox,20,5,.800
jenseja01,1961 Red Sox,9,8,.529
jenseja01,Career,SB,CS,SB%
jenseja01,11 Years,143,55,.722
mateojo01,Team,SB,CS,SB%
mateojo01,2020 Padres,1,0,1.000
mateojo01,2021 Padres,5,0,1.000
mateojo01,2021 Orioles,5,3,.625
mateojo01,2022 Orioles,35,9,.795
mateojo01,2023 Orioles,32,5,.865
mateojo01,2024 Orioles,13,2,.867
mateojo01,2025 Orioles,15,2,.882
mateojo01,Career,SB,CS,SB%
mateojo01,6 Years,106,21,.835
villajo01,Team,SB,CS,SB%
villajo01,2013 Astros,18,8,.692
villajo01,2014 Astros,17,4,.810
villajo01,2015 Astros,7,2,.778
villajo01,2016 Brewers,62,18,.775
villajo01,2017 Brewers,23,8,.742
villajo01,2018 Brewers,14,2,.875
villajo01,2018 Orioles,21,3,.875
villajo01,2019 Orioles,40,9,.816
villajo01,2020 Marlins,9,5,.643
villajo01,2020 Blue Jays,7,0,1.000
villajo01,2021 Mets,14,7,.667
villajo01,2022 Cubs,6,0,1.000
villajo01,2022 Angels,1,0,1.000
villajo01,Career,SB,CS,SB%
villajo01,10 Years,239,66,.784
ruizes01,Team,SB,CS,SB%
ruizes01,2022 Padres,1,2,.333
ruizes01,2022 Brewers,0,0,.000
ruizes01,2023 Athletics,67,13,.838
ruizes01,2024 Athletics,5,4,.556
ruizes01,2025 Dodgers,4,0,1.000
ruizes01,Career,SB,CS,SB%
ruizes01,4 Years,77,19,.802
maisefr01,Team,SB,CS,SB%
maisefr01,1913 Yankees,25,-,-
maisefr01,1914 Yankees,74,17,.813
maisefr01,1915 Yankees,51,12,.810
maisefr01,1916 Yankees,4,0,1.000
maisefr01,1917 Yankees,29,-,-
maisefr01,1918 Browns,11,-,-
maisefr01,Career,SB,CS,SB%
maisefr01,6 Years,194,29,.870
delacel01,Team,SB,CS,SB%
delacel01,2023 Reds,35,8,.814
delacel01,2024 Reds,67,16,.807
delacel01,2025 Reds,37,8,.822
delacel01,Career,SB,CS,SB%
delacel01,3 Years,139,32,.813
reynoha01,Team,SB,CS,SB%
reynoha01,1983 Mariners,0,2,.000
reynoha01,1984 Mariners,1,1,.500
reynoha01,1985 Mariners,3,2,.600
reynoha01,1986 Mariners,30,12,.714
reynoha01,1987 Mariners,60,20,.750
reynoha01,1988 Mariners,35,29,.547
reynoha01,1989 Mariners,25,18,.581
reynoha01,1990 Mariners,31,16,.660
reynoha01,1991 Mariners,28,8,.778
reynoha01,1992 Mariners,15,12,.556
reynoha01,1993 Orioles,12,11,.522
reynoha01,1994 Angels,10,7,.588
reynoha01,Career,SB,CS,SB%
reynoha01,12 Years,250,138,.644
tolanbo01,Team,SB,CS,SB%
tolanbo01,1965 Cardinals,2,1,.667
tolanbo01,1966 Cardinals,1,2,.333
tolanbo01,1967 Cardinals,12,7,.632
tolanbo01,1968 Cardinals,9,5,.643
tolanbo01,1969 Reds,26,12,.684
tolanbo01,1970 Reds,57,20,.740
tolanbo01,1972 Reds,42,15,.737
tolanbo01,1973 Reds,15,10,.600
tolanbo01,1974 Padres,7,9,.438
tolanbo01,1975 Padres,11,13,.458
tolanbo01,1976 Phillies,10,5,.667
tolanbo01,1977 Phillies,0,0,.000
tolanbo01,1977 Pirates,1,1,.500
tolanbo01,1979 Padres,0,0,.000
tolanbo01,Career,SB,CS,SB%
tolanbo01,13 Years,193,100,.659
cuyleki01,Team,SB,CS,SB%
cuyleki01,1921 Pirates,0,0,.000
cuyleki01,1922 Pirates,0,0,.000
cuyleki01,1923 Pirates,2,3,.400
cuyleki01,1924 Pirates,32,11,.744
cuyleki01,1925 Pirates,41,13,.759
cuyleki01,1926 Pirates,35,20,.636
cuyleki01,1927 Pirates,20,1,.952
cuyleki01,1928 Cubs,37,9,.804
cuyleki01,1929 Cubs,43,11,.796
cuyleki01,1930 Cubs,37,10,.787
cuyleki01,1931 Cubs,13,17,.433
cuyleki01,1932 Cubs,9,7,.563
cuyleki01,1933 Cubs,4,3,.571
cuyleki01,1934 Cubs,15,8,.652
